片名,演员,题材,观看人数
少年的你,"[""曾国祥"",""周冬雨"",""易烊千玺"",""尹昉"",""周也"",""吴越"",""黄觉"",""张艺凡"",""张耀""]",剧情、爱情、犯罪,106332716
烈火英雄,"[""陈国辉"",""黄晓明"",""杜江"",""谭卓"",""杨紫"",""欧豪"",""侯勇"",""张哲瀚"",""谷嘉诚""]",剧情、灾难,69774408
狄仁杰之通天帝国,"[""徐克"",""刘德华"",""刘嘉玲"",""李冰冰"",""梁家辉"",""邓超"",""泰迪·罗宾"",""吴耀汉"",""姚橹""]",动作、悬疑、古装,52043606
西游记之大圣归来,"[""田晓鹏"",""张磊"",""林子杰"",""吴文伦"",""童自荣"",""刘九容"",""吴迪"",""刘北辰"",""赵乾景""]",剧情、动画、奇幻,45049551
妖猫传,"[""陈凯歌"",""黄轩"",""染谷将太"",""张雨绮"",""秦昊"",""张榕容"",""刘昊然"",""欧豪"",""张鲁一""]",剧情、悬疑、奇幻、古装,39899728
星际特工：千星之城_译制版,"[""吕克·贝松"",""戴恩·德哈恩"",""卡拉·迪瓦伊"",""克里夫·欧文"",""蕾哈娜"",""伊桑·霍克"",""赫比·汉考克"",""萨姆·斯普卢尔""]",动作、科幻、冒险,39734221
大鱼海棠,"[""梁旋"",""张春"",""季冠霖"",""苏尚卿"",""许魏洲"",""金士杰"",""杨婷"",""潘淑兰"",""九儿"",""王德顺""]",剧情、动画、奇幻,29494414
南京！南京！,"[""陆川"",""刘烨"",""高圆圆"",""中泉英雄"",""范伟"",""裴中中"",""江一燕"",""木幡龙"",""秦岚""]",剧情、历史、战争,27511093
煎饼侠,"[""大鹏"",""袁姗姗"",""柳岩"",""吴君如"",""曾志伟"",""岳云鹏"",""衣云鹤"",""梁超""]",喜剧,23013539
印度合伙人_译制版,"[""R·巴尔基"",""阿克谢·库玛尔"",""拉迪卡·艾普特"",""索娜姆·卡普尔"",""乔蒂·苏巴"",""森尔·辛"",""阿米达普·巴强"",""雷·拉维""]",剧情、喜剧、传记,22651042
一九四二,"[""冯小刚"",""张国立"",""张默"",""徐帆"",""李雪健"",""陈道明"",""艾德里安·布洛迪"",""蒂姆·罗宾斯"",""冯远征""]",剧情、历史、战争、灾难,22186657
杀破狼·贪狼,"[""叶伟信"",""古天乐"",""吴樾"",""托尼·贾"",""林家栋"",""高战"",""郑雪儿"",""卢惠光"",""蔡洁""]",剧情、动作,21750186
扫毒2天地对决,"[""邱礼涛"",""刘德华"",""古天乐"",""苗侨伟"",""林嘉欣"",""周秀娜"",""应采儿"",""陈家乐"",""卫诗雅""]",剧情、动作、犯罪、悬疑,17436193
命运呼叫转移,"[""刘仪伟"",""张坚庭"",""孙周"",""林锦和"",""葛优"",""范冰冰"",""闫妮"",""邱心志"",""姚晨"",""徐峥"",""徐帆""]",喜剧、爱情,13373478
一条狗的使命2,"[""盖尔·曼库索"",""丹尼斯·奎德"",""凯瑟琳·普雷斯科特"",""刘宪华"",""玛格·海根柏格"",""贝蒂·吉尔平"",""乔什·加德"",""艾比·莱德·弗特森"",""杰克·曼利"",""达妮埃拉·巴博萨"",""伊恩·陈"",""杰夫·罗普"",""吉姆·科比""]",剧情、喜剧、家庭,12277621
蜀山传,"[""徐克"",""郑伊健"",""张柏芝"",""古天乐"",""谭耀文"",""林熙蕾"",""洪金宝"",""章子怡"",""吴京""]",剧情、动作、奇幻、武侠、古装,12088655
钟馗伏魔：雪妖魔灵,"[""鲍德熹"",""赵天宇"",""陈坤"",""李冰冰"",""赵文瑄"",""杨子姗"",""包贝尔"",""吉克隽逸""]",动作、爱情、奇幻,10926192
奔跑吧！兄弟,"[""胡笳"",""岑俊义"",""杨颖"",""王宝强"",""李晨"",""陈赫"",""郑恺"",""王祖蓝"",""谢依霖"",""熊黛林""]",喜剧,10774545
一声叹息,"[""冯小刚"",""张国立"",""刘蓓"",""徐帆"",""傅彪"",""李诚儒"",""吴旭"",""修宗迪"",""高明""]",剧情、家庭、爱情,10199098
从你的全世界路过,"[""张一白"",""邓超"",""白百何"",""杨洋"",""张天爱"",""岳云鹏"",""杜鹃"",""柳岩"",""廖学秋""]",喜剧、爱情,9251490
