剧名,简介,最近更新,观看人数
王总为何会这样,王总，你愿意娶我吗？（备案编号：9900008211006028；版权方：北京一点网聚科技有限公司）,第32集,68615807
逆袭少女已上线,舒烟因为错换人生一路坎坷长大，回到自己家中后又阴差阳错触发了CS公司的神秘项目，在虚拟世界中她又再次遇到了阮小乔和养父母。面对虎狼之心的对手，这次的舒烟更加沉稳机智应对。（备案编号：9900008211106008；版权方：深圳市腾讯计算机系统有限公司）,第24集,110432345
我在你的世界里,命悬一线之际意外的灵魂互换，让两个截然不同的人生开启了新篇章（备案编号：9900008220106024；版权方：青岛古麦嘉禾科技有限公司）,第25集,51522272
CP马拉松,众人联手智斗渣男没想到结局竟然...(备案编号:9900008220106022;版权方:青岛古麦嘉禾科技有限公司),第25集,130877659
一不小心爱上你,新人男演员陆泽铭正处于事业上升期，却阴差阳错与海归造型师许佳谊互换身体，每天都必须亲吻对方才能换回本身，两人在经纪人coco的建议下不得不上演“合约恋爱”，没想到“长情人设”竟获得外界一致好评，不得不持续营业。（备案编号：9900008220106004；版权方：厦门恒星动能影视文化有限公司）,第25集,148306062
女主人设不能崩！,顶级写手居然瞄准了一个十八线的女明星，是自我救赎，还是苦果里开出的花。（备案编号：9900008211206005；版权方：杭州趣新数字传媒有限公司）,第20集,62740828
四喜临门,双方父母，却是四个家庭。为了提亲，鹿晴和叶寻拜年之旅开始了（备案编号：9900008220106043；版权方：青岛古麦嘉禾科技有限公司）,第25集,42988632
公主的骑士,都说毕业季就是分手季，我看不尽然，你看人家乔士奇和白湖，当众结婚顺便惊艳所有人~（备案编号：9900008210206034；版权方：燃也文化传媒(北京)有限责任公司）,第25集,16622132
逆战,小柒用自己的努力证明，哪怕身处逆境，也不要放弃希望，靠自己，也能逆风翻盘。（备案编号：9900008210306007；版权方：河南萤火之光文化传媒有限公司）,第26集,168906600
全世界都误会我们在恋爱,全世界都在误会顾择一在偷偷谈恋爱，可实际女主夏梦不过是顾泽一选中的工具人。完全没有交集的两个人在这个盛夏捆绑在了一起。可是盛夏的结束，一切的梦境终将回归现实，留下的不过是曾经靠近过彼此的温暖。（备案编号：9900008211006012；版权方：北京卓然思豫文化传媒有限公司）,第20集,14280882
超感姐妹,"龙套演员沈清清和投资人艾丽丝是一对双胞胎姐妹，多年前因意外而分离，20年后偶然重逢，由于双胞胎的心灵感应作用而闹出笑话，也两人因为心灵感应解决了很多困难,并且双双找到了自己的真爱。（备案编号：9900008211006021；版权方：咪咕数字传媒有限公司）",第25集,94522119
我去平行时空爱你,大家闺秀沈舒然爱上穷酸秀才顾辰，大婚当天义无反顾悔婚，选择了心爱之人。却没想到婚后的顾辰露出豺狼本性，沈舒然幡然醒悟，在罗云骥的帮助下冲破封建世俗和离，却惨遭顾辰毒手。时光在缝隙中断裂开来，沈舒然竟然重回了做选择的那天…（备案编号：9900008220106033；版权方：苏州海厚文化传媒有限公司）,第25集,117251663
凤求凰,有一美人兮，见之不忘……（备案编号：9900008220206002；版权方：苏州落蒂传媒文化有限公司）,第13集,80828094
破次元爱恋,一不小心进漫画了？你让我当炮灰我就当炮灰吗？（备案编号：9900008220106039；版权方：北京云上和美文化传媒有限公司）,第26集,93168574
听见你的心声,谢冉获得了读心术，但只能听见纪君泽的心声。在纪君泽的帮助下，谢冉成功的查出了谋害自己的幕后黑手竟然是男主。谢冉和纪君泽在一路追凶虐渣的过程中互生好感，毒舌男vs花痴女，不折不扣的欢喜搭档。最终两人修成正果。（备案编号：9900008220206003；版权方：浙江意火影视文化传播有限公司）,第21集,40003229
女人的觉醒,“愚孝”老公林志杰的原生家庭把他与温莎的小家庭弄得鸡飞狗跳，游手好闲的小叔子林志飞习惯了哥嫂的帮扶，变得越来越肆无忌惮贪得无厌，小家庭摇摇欲坠之际，温莎终于觉醒，底线要守住，不能予取予求，她决心挽救丈夫与婚姻。（备案编号：9900008220306002；版权方：成都漫悦科技有限公司）,第24集,400189432
